YEAR	CODE	CHANGE	TENTURE	ROE	MEDIA	S0	AGE	INDUSTRY	ASSET	ROA	RETURN	DEBTRATIO	S1	S12	BOARDSIZE	CEOSTOCK	CONTROL
2001	61	0	2	9.0896	3	6.628056191	56	H	2720393933	6.1867	-0.027436817	56.0884	26.66	22.69	10	0.001667678	1
2002	61	1	3	14.4767	3	6.628056191	57	H	3293895153	7.9544	-0.211344863	59.1954	26.66	22.69	13	0.001667678	1
1999	62	0	0	10.6833	1	7.92312805	58	M	1378133512	8.3626	0.408637056	20.4825	52.5	50.77	9	0.00023875	1
2000	62	1	1	8.8104	1	7.923884142	59	M	1264706636	6.2451	-0.208448524	9.2913	52.5	50.01	7	0.00023875	1
1999	63	0	3	17.0683	1	8.167295118	59	G	3384815709	10.5449	0.46830065	53.3399	59.24	56.22	11	0.000092888	0
2000	63	0	4	20.7371	1	8.168105222	60	G	6321006764	10.9451	0.329784311	69.1529	59.25	56.23	13	0.000092888	0
2001	63	0	5	19.8383	2	7.939013424	61	G	9054549429	10.5254	-0.269282951	56.238	52.85	50.16	13	0.000103582	0
2002	63	0	6	13.9316	2	7.939013424	62	G	12405770106	7.5411	-0.156189152	63.7813	52.85	50.16	13	0.000121565	1
2003	63	1	7	16.1474	2	7.939304084	62	G	15766954884	7.5495	0.607389688	66.534	52.85	50.16	15	0.000121565	1
2005	65	0	4	5.5155	2	8.137612824	39	E	1330765968	2.7151	0.670947457	66.9167	58.05	50.93	9	0	1
1999	65	1	0.3	13.0785	0	8.364176315	54	E	238449837.6	10.404	0.498552056	44.5371	64.68	54.36	7	0.0005	1
2000	65	0	1	10.858	0	8.364104155	43	E	306125469.8	7.6525	0.519692864	51.8383	64.68	54.36	10	0	1
2001	65	0	2	7.197	0	8.089629273	45	E	857197559.8	4.518	-0.256081218	61.319	55.48	44.7	10	0	1
2002	65	0	3	7.3678	0	8.090598722	45	E	958291603.3	3.6654	-0.143522992	62.7528	55.48	44.7	9	0	1
2003	65	1	4	5.5151	0	8.091667019	46	E	1202142900	2.6802	-0.137455401	68.4074	55.48	44.7	9	0	1
2004	65	1	1	8.7717	0	8.40214066	48	E	1206505665	4.5044	-0.484137414	64.2657	66.26	58.13	9	0	1
2002	66	0	0.9	5.4806	0	8.204336371	52	G	2050958242	3.6017	-0.183631925	43.2305	60.47	60.21	9	0.000138716	1
2003	66	0	1.9	8.8842	0	8.204392621	53	G	1970912379	5.7506	0.576973784	35.5007	60.47	59.92	9	0.000138716	1
2004	66	0	2.9	23.2591	3	8.204556459	54	G	2211146474	15.9096	-0.328483825	29.927	60.47	59.72	9	0.000138716	1
2005	66	1	3.9	20.561	3	8.20435956	55	G	2437278580	16.4693	0.020216411	28.5766	60.47	60.05	9	0.000138716	1
2000	68	0	1	10.0187	0	7.454115137	58	C	3074192413	8.664	0.589249991	51.104	28.49	7.12	9	0	1
2001	68	1	2	6.2732	0	7.453027082	59	C	2784401557	5.0348	-0.142563127	46.9363	28.49	7.12	9	0	1
2002	68	0	0	7.8744	0	7.44081158	51	C	2415626243	6.126	-0.203183125	33.8822	28.11	6.74	9	0	1
2003	68	0	1	10.5412	0	7.440768273	52	C	3448276290	6.8519	0.728364908	48.0441	28.11	6.74	9	0	1
2004	68	0	2	14.2106	0	7.180948696	54	C	4982831306	9.2938	-0.417295459	58.4246	21.37	0	9	0	1
2005	68	0	3	1.9691	0	7.181396032	55	C	4269196370	3.2765	-0.527928823	52.2651	21.37	0	9	0	1
1999	69	0	0	8.5372	0	8.607178858	49	K	1122580103	6.8691	0.571622584	42.4585	73.96	73.49	9	0.000026042	1
2000	69	0	1	11.1901	0	8.456617921	50	K	1302839208	8.5892	0.748354023	26.1846	68.59	67.76	11	0.000031401	1
2001	69	0	2	18.8589	0	8.45785357	51	K	1848378245	12.9451	-0.086525388	41.8652	68.6	67.04	11	0.000031401	1
2002	69	1	3	24.8825	0	8.457854758	52	K	2331665915	16.0452	0.063545179	43.448	68.6	66.9	11	0.000031401	1
2000	70	0	2	10.718	0	7.266089715	56	C	1369357327	5.7135	-0.232328241	42.4588	27.81	4.43	11	0	1
2001	70	0	3	5.388	0	7.266089715	57	C	1348565469	3.3578	-0.361986139	40.9079	27.81	4.43	13	0	1
2002	70	1	4	0.248	0	7.266089715	58	C	1271547772	0.3894	-0.413959786	37.32	27.81	4.43	12	0	1
1999	88	0	1	6.2388	0	8.7295557	45	F	1964393079	5.1949	0.530259865	26.9636	78.63	78.12	9	0	1
2000	88	0	2	6.668	0	8.729516365	46	F	3404245141	5.0816	0.425214611	55.14	78.63	78.5	7	0	1
2001	88	0	3	25.856	1	8.729745477	47	F	3329204610	14.1782	0.034311008	51.6397	78.63	77.78	12	0	1
2002	88	0	4	31.8726	1	8.729817917	48	F	3434817939	20.0255	0.254505011	37.7334	78.63	77.76	10	0	1
2003	88	0	5	32.51	1	8.729934927	49	F	3942979194	23.8291	0.243119823	25.9593	78.63	77.69	12	0	1
2004	88	1	6	21.2379	3	8.606574997	50	F	4069935390	19.1018	0.153921275	8.6783	73.9	71.84	11	0.000032129	1
2003	89	1	1	9.7613	0	8.317990727	40	F	3072154118	10.2195	0.28760325	13.5336	63.99	63.12	9	0	1
1999	89	0	0	22.031	0	8.406979585	57	F	1676679534	19.7824	1.331846654	23.2222	66.67	62.22	7	0.00005	1
2000	89	0	1	19.351	0	8.321553566	58	F	2623583288	16.2344	0.002123538	24.0763	63.99	60.43	7	0.000054012	1
2001	89	0	2	16.1804	0	8.321089739	59	F	2609340156	14.2487	-0.119555294	16.5517	63.99	61.17	7	0.000054012	1
2002	89	1	3	13.7989	0	8.321998871	60	F	2711376451	13.1316	-0.027514947	8.2687	63.99	60.67	9	0.000054012	1
2004	89	0	1	9.3271	4	8.320250335	55	F	3250649147	9.8319	-0.338224745	11.5558	63.99	61.61	9	0	1
2005	89	1	2	12.2885	9	8.008516557	56	F	3482859602	12.627	0.322986858	10.3925	54.63	51.29	8	0	1
2002	90	0	0	6.5593	0	7.870552808	46	E	2744807405	3.2052	-0.368474085	60.832	50.69	46.18	11	0	1
2003	90	0	1	4.8632	0	7.870222859	47	E	2510610876	2.9611	-0.212917184	54.5737	50.69	46.18	12	0	1
